ChEMBL ID,Smiles,Canonical_Smiles,bioactivity_class,pKi
CHEMBL1649943,CCC(=O)N(c1ccccc1)C1CCN(C(=O)[C@H](Cc2ccc(Cl)cc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2c(C)cc(O)cc2C)CC1,CCC(=O)N(c1ccccc1)C1CCN(CC1)C(=O)[C@H](Cc1ccc(cc1)Cl)NC(=O)CNC(=O)[C@H](NC(=O)[C@H](Cc1c(C)cc(cc1C)O)N)C,active,10
CHEMBL334970,O=C(O)C[C@@H](NC(=O)c1cccc2c3c([nH]c12)[C@@H]1Oc2c(O)ccc4c2C12CCN(CC1CC1)C(C4)[C@]2(O)C3)C(=O)O,OC(=O)C[C@H](C(=O)O)NC(=O)c1cccc2c1[nH]c1c2C[C@@]2(C34[C@H]1Oc1c4c(CC2N(CC3)CC2CC2)ccc1O)O,active,10
CHEMBL1766207,CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1ccc(OC)c(OC)c1,CCCC[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCc1ccc(c(c1)OC)OC)Cc1c[nH]c2c1cccc2)CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@H](Cc1c(C)cc(cc1C)O)N)C,active,9.698970004
CHEMBL3759292,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)NCC(=O)NCc1ccccc1,O=C(NCc1ccccc1)CNC(=O)[C@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1c(C)cc(cc1C)O)N,active,9.698970004
CHEMBL68412,CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3Cc2cccs2)c2cccc(O)c2)cc1,CCNC(=O)c1ccc(cc1)C(=C1CC2CCC(C1)N2Cc1cccs1)c1cccc(c1)O,active,9.698970004
CHEMBL4066752,O=C(c1ccccc1)N1C[C@H]2OC34CCC1C2C31CCN(CC2CC2)C4Cc2ccc(O)cc21,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](O2)CN3C(=O)c1ccccc1)CC1CC1,active,9.698970004
CHEMBL2113671,CO[C@]12C=C[C@@]3(C[C@H]1[C@@H](C)OCc1ccccc1)[C@H]1Cc4ccc(O)c5c4C3(CCN1C)[C@@H]2O5,CO[C@]12C=C[C@]3(C[C@H]1[C@H](OCc1ccccc1)C)C14[C@@H]2Oc2c4c(C[C@H]3N(CC1)C)ccc2O,active,9.698970004
CHEMBL3758712,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)NCC(=O)Nc1ccccc1,O=C(Nc1ccccc1)CNC(=O)[C@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1c(C)cc(cc1C)O)N,active,9.698970004
CHEMBL375504,Oc1ccc2c(c1)[C@]13CCN(CC4CCC4)[C@H](C2)[C@@H]1Cc1c([nH]c2ccccc12)C3,Oc1ccc2c(c1)[C@@]13CCN([C@H](C2)[C@@H]3Cc2c(C1)[nH]c1c2cccc1)CC1CCC1,active,9.698970004
CHEMBL1649938,CCCC[C@@H](NC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC(N(C(=O)CC)c2ccccc2)CC1,CCCC[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1CCC(CC1)N(c1ccccc1)C(=O)CC)Cc1ccccc1)NC(=O)[C@H](Cc1c(C)cc(cc1C)O)N,active,9.698970004
CHEMBL1766208,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,CSCC[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)Cc1c[nH]c2c1cccc2)CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@H](Cc1c(C)cc(cc1C)O)N)C,active,9.698970004
CHEMBL2208356,COc1ccc(-c2ccc(CCNC(=O)c3ccc4c(c3)C3(C)CCN(CC5CC5)C(C4)C3C)cc2)cc1,COc1ccc(cc1)c1ccc(cc1)CCNC(=O)c1ccc2c(c1)C1(C)CCN(C(C2)C1C)CC1CC1,active,9.698970004
CHEMBL249985,COc1ccc(-c2ccc(CCNC(=O)c3ccc4c(c3)[C@@]3(C)CCN(CC5CC5)C(C4)[C@@H]3C)cc2)cc1,COc1ccc(cc1)c1ccc(cc1)CCNC(=O)c1ccc2c(c1)[C@@]1(C)CCN(C(C2)[C@@H]1C)CC1CC1,active,9.698970004
CHEMBL132897,NCCC[C@@H](NC(=O)c1cccc2c3c([nH]c12)[C@@H]1Oc2c(O)ccc4c2C12CCN(CC1CC1)C(C4)[C@]2(O)C3)C(=O)O,NCCC[C@H](C(=O)O)NC(=O)c1cccc2c1[nH]c1c2C[C@@]2(C34[C@H]1Oc1c4c(CC2N(CC3)CC2CC2)ccc1O)O,active,9.698970004
CHEMBL226166,Oc1ccc2c(c1)[C@]13CCN(CC4CC4)[C@H](C2)[C@@H]1Cc1c([nH]c2ccccc12)C3,Oc1ccc2c(c1)[C@@]13CCN([C@H](C2)[C@@H]3Cc2c(C1)[nH]c1c2cccc1)CC1CC1,active,9.698970004
CHEMBL3616943,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(NC(=O)C(Cc1cccs1)NC(=O)CNC(=O)C1CC(O)CN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](N)CCCNC(=N)N)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)N1C(C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)CC2CCCCC21,NC(=N)NCCC[C@@H](C(=O)O)NC(=O)C1CC2C(N1C(=O)[C@H]1Cc3ccccc3CN1C(=O)C(NC(=O)C(Cc1cccs1)NC(=O)CNC(=O)C1CC(CN1C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](CCCNC(=N)N)N)CCCNC(=N)N)O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@H](Cc1ccc(cc1)O)N)C)CCCC2,active,9.698970004
CHEMBL3754081,CCC(=O)N(CC1CCCCN1[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@@H](Cc1c(C)cc(O)cc1C)C(=O)O)c1ccccc1,CCC(=O)N(c1ccccc1)CC1CCCCN1[C@H](C(=O)NCC(=O)N[C@@H](C(=O)N[C@H](C(=O)O)Cc1c(C)cc(cc1C)O)C)Cc1ccccc1,active,9.698970004
CHEMBL382051,CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CC(=O)O)NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)CNC(=O)[C@H](NC(=O)[C@H](Cc1ccc(cc1)O)N)Cc1ccccc1,active,9.698970004
CHEMBL2408011,CCC(=O)N(c1ccccc1)C1CCN(C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)[C@@H](N)Cc2c(C)cc(O)cc2C)CC1,CCC(=O)N(c1ccccc1)C1CCN(CC1)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1c(C)cc(cc1C)O)N,active,9.698970004
CHEMBL1172253,CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CC(=O)O)NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@H](Cc1c(C)cc(cc1C)O)N)C)Cc1[nH]cnc1)Cc1ccc2c(c1)cccc2)CCCNC(=N)N,active,9.698970004
CHEMBL4083940,O=C(c1ccccc1)N1C[C@H]2CC34CCC1C2C31CCN(CC2CC2)C4Cc2ccc(O)cc21,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](C2)CN3C(=O)c1ccccc1)CC1CC1,active,9.698970004
CHEMBL49269,Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,Oc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CC1CC1,active,9.698970004
CHEMBL568818,CCN(CC)C(=O)c1ccc(N(c2cccc(O)c2)C2CCN(CCc3ccoc3)CC2)cc1,CCN(C(=O)c1ccc(cc1)N(c1cccc(c1)O)C1CCN(CC1)CCc1ccoc1)CC,active,9.698970004
CHEMBL262172,CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CC(=O)O)NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)CNC(=O)[C@H](NC(=O)[C@H](Cc1ccc(cc1)O)N)C,active,9.698970004
CHEMBL4081856,O=S(=O)(c1ccccc1)N1C[C@H]2OC34CCC1C2C31CCN(CC2CC2)C4Cc2ccc(O)cc21,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](O2)CN3S(=O)(=O)c1ccccc1)CC1CC1,active,9.698970004
CHEMBL281786,CO[C@]12CC[C@]3(C[C@@H]1C(O)(C)C)[C@@]14[C@H]2Oc2c4c(C[C@H]3N(CC1)CC1CC1)ccc2O,CO[C@]12CC[C@]3(C[C@@H]1C(O)(C)C)[C@@]14[C@H]2Oc2c4c(C[C@H]3N(CC1)CC1CC1)ccc2O,active,9.698970004
CHEMBL408832,CCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NN[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)N[C@H](Cc1cn(C(=O)OC23CC4CC(CC(C4)C2)C3)c2ccccc12)C(=O)O,CCCC[C@@H](C(=O)N[C@@H](C(=O)O)Cc1cn(c2c1cccc2)C(=O)OC12CC3CC(C2)CC(C1)C3)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NN[C@H](C(=O)NCC(=O)N[C@@H](C(=O)N[C@H](C(=O)O)Cc1ccc(cc1)O)C)Cc1ccccc1)CC(=O)O,active,9.698970004
CHEMBL226217,Nc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,Oc1ccc2c(c1)[C@@]13CCN([C@H](C2)[C@@H]3Cc2c(C1)nc(s2)N)CC1CC1,active,9.698970004
CHEMBL3086304,Nc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,Oc1ccc2c(c1)[C@@]13CCN([C@H](C2)[C@@H]3Cc2c(C1)nc(s2)N)CC1CC1,active,9.698970004
CHEMBL302801,CCN(CC)C(=O)c1ccc(/C(=C2/C[C@@H]3CC[C@H](C2)N3CCc2ccccc2)c2ccccc2)cc1,CCN(C(=O)c1ccc(cc1)/C(=C/1\C[C@H]2CC[C@@H](C1)N2CCc1ccccc1)/c1ccccc1)CC,active,9.698970004
CHEMBL368522,Oc1ccc2c3c1O[C@H]1c4c(c5ccccc5n4CCF)C[C@@]4(O)C(C2)N(CC2CC2)CCC314,FCCn1c2c(c3c1cccc3)C[C@@]1(C34[C@H]2Oc2c4c(CC1N(CC3)CC1CC1)ccc2O)O,active,9.698970004
CHEMBL569316,CCN(CC)C(=O)c1ccc(N(c2cccc(O)c2)C2CCN(CCc3ccccn3)CC2)cc1,CCN(C(=O)c1ccc(cc1)N(c1cccc(c1)O)C1CCN(CC1)CCc1ccccn1)CC,active,9.698970004
CHEMBL2208349,CC1C2Cc3ccc(C(=O)NCCc4ccc(-c5ccccc5O)cc4)cc3C1(C)CCN2CC1CC1,CC1C2Cc3c(C1(C)CCN2CC1CC1)cc(cc3)C(=O)NCCc1ccc(cc1)c1ccccc1O,active,9.698970004
CHEMBL210005,C[C@H]1[C@H]2Cc3ccc(C(=O)NCCc4ccc(-c5ccccc5)cc4)cc3[C@]1(C)CCN2CC1CC1,C[C@H]1[C@H]2Cc3c([C@]1(C)CCN2CC1CC1)cc(cc3)C(=O)NCCc1ccc(cc1)c1ccccc1,active,9.698970004
CHEMBL67790,CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3Cc2cccs2)c2ccc(O)cc2)cc1,CCNC(=O)c1ccc(cc1)C(=C1CC2CCC(C1)N2Cc1cccs1)c1ccc(cc1)O,active,9.522878745
CHEMBL3758257,N[C@@H](Cc1ccc(O)cc1)C(=O)N1Cc2ccccc2CC1CN[C@@H](Cc1ccccc1)C(=O)NC(CC1CCCCC1)C(=O)O,Oc1ccc(cc1)C[C@@H](C(=O)N1Cc2ccccc2CC1CN[C@H](C(=O)NC(C(=O)O)CC1CCCCC1)Cc1ccccc1)N,active,9.522878745
CHEMBL367497,CCn1c2c(c3ccccc31)C[C@@]1(O)C3Cc4ccc(O)c5c4C1(CCN3CC1CC1)[C@H]2O5,CCn1c2c(c3c1cccc3)C[C@@]1(C34[C@H]2Oc2c4c(CC1N(CC3)CC1CC1)ccc2O)O,active,9.522878745
CHEMBL2387214,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCNC(=O)NCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1)C(=O)O,CC(C[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCCNC(=O)NCCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)Cc1c[nH]c2c1cccc2)CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)O)N)C)C,active,9.522878745
CHEMBL4076632,O=C(Nc1ccccc1)N1C[C@H]2CC34CCC1C2C31CCN(CC2CC2)C4Cc2ccc(O)cc21,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](C2)CN3C(=O)Nc1ccccc1)CC1CC1,active,9.522878745
CHEMBL199832,Oc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C[C@@H]1CCCO1)CC3,Oc1ccc2c(c1)[C@]13CCCCC3[C@@H](C2)N(CC1)C[C@@H]1CCCO1,active,9.522878745
CHEMBL2113675,Oc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(C[C@@H]1CCCO1)CC3,Oc1ccc2c(c1)[C@]13CCCCC3[C@@H](C2)N(CC1)C[C@@H]1CCCO1,active,9.522878745
CHEMBL584941,CCN(CC)C(=O)c1ccc(N(c2cccc(O)c2)C2CCN(CCc3ccsc3)CC2)cc1,CCN(C(=O)c1ccc(cc1)N(c1cccc(c1)O)C1CCN(CC1)CCc1ccsc1)CC,active,9.522878745
CHEMBL3309518,O=C1CCC2=C([C@@H]3Oc4c(O)ccc5c4[C@@]34CCN(CC3CC3)[C@H](C5)[C@]4(O)C2)N1CC1CCCCC1,O=C1CCC2=C(N1CC1CCCCC1)[C@@H]1Oc3c4[C@@]51[C@](C2)(O)[C@@H](Cc4ccc3O)N(CC5)CC1CC1,active,9.522878745
CHEMBL2387211,CC(C)[C@H](NC(=O)[C@@H](NC(=O)C(C)(C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(C)C)C(=O)N[C@@H](CCC(=O)NCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1)C(N)=O,O=C(CC[C@@H](C(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)C(NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](Cc1ccc(cc1)O)N)C)Cc1ccccc1)(C)C)NCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1,active,9.522878745
CHEMBL577615,CCN(CC)C(=O)c1ccc(N(c2cccc(C(N)=O)c2)C2CCN(Cc3ccccc3)CC2)cc1,CCN(C(=O)c1ccc(cc1)N(c1cccc(c1)C(=O)N)C1CCN(CC1)Cc1ccccc1)CC,active,9.522878745
CHEMBL304196,CCN(CC)C(=O)c1ccc(N(c2ccccc2)C2C[C@@H]3CC[C@H](C2)N3)cc1,CCN(C(=O)c1ccc(cc1)N(c1ccccc1)C1C[C@@H]2CC[C@H](C1)N2)CC,active,9.522878745
CHEMBL353979,COC12CCC3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,COC12CCC3(CC1C(O)(C)C)C14C2Oc2c4c(CC3N(CC1)CC1CC1)ccc2O,active,9.522878745
CHEMBL569956,CCN(CC)C(=O)c1ccc(N(c2cccc(O)c2)C2CCN(CCc3ncc[nH]3)CC2)cc1,CCN(C(=O)c1ccc(cc1)N(c1cccc(c1)O)C1CCN(CC1)CCc1[nH]ccn1)CC,active,9.522878745
CHEMBL511795,NC(=O)c1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,NC(=O)c1ccc2c3c1O[C@@H]1[C@@]43CCN([C@H](C2)[C@]4(O)Cc2c1[nH]c1c2cccc1)CC1CC1,active,9.522878745
CHEMBL143939,CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccc(Cl)cc2)C(=O)N[C@H]1C(=O)O,Oc1ccc(cc1)C[C@@H](C(=O)N[C@H]1C(=O)NCC(=O)N[C@@H](Cc2ccc(cc2)Cl)C(=O)N[C@H](C(SSC1(C)C)(C)C)C(=O)O)N,active,9.522878745
CHEMBL335936,NCCCC[C@@H](NC(=O)c1cccc2c3c([nH]c12)[C@@H]1Oc2c(O)ccc4c2C12CCN(CC1CC1)C(C4)[C@]2(O)C3)C(=O)O,NCCCC[C@H](C(=O)O)NC(=O)c1cccc2c1[nH]c1c2C[C@@]2(C34[C@H]1Oc1c4c(CC2N(CC3)CC2CC2)ccc1O)O,active,9.522878745
CHEMBL3787263,Oc1ccc2c(c1)[C@]13CCN(CC4CC4)[C@@H](C2)[C@]1(O)Cc1cc2ccccc2nc1C3,Oc1ccc2c(c1)[C@@]13CCN([C@@H](C2)[C@]3(O)Cc2c(C1)nc1ccccc1c2)CC1CC1,active,9.522878745
CHEMBL4103044,O=C(c1ccoc1)N1C[C@H]2CC34CCC1C2C31CCN(CC2CC2)C4Cc2ccc(O)cc21,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](C2)CN3C(=O)c1cocc1)CC1CC1,active,9.522878745
CHEMBL304989,C=CCN1[C@H]2CC[C@@H]1C/C(=C(\c1ccccc1)c1ccc(C(=O)N(CC)CC)cc1)C2,C=CCN1[C@@H]2CC[C@H]1C/C(=C(/c1ccccc1)\c1ccc(cc1)C(=O)N(CC)CC)/C2,active,9.522878745
CHEMBL25230,C=CCN1C[C@H](C)N(C[C@H]1C)[C@@H](c1cccc(c1)O)c1ccc(cc1)C(=O)N(CC)CC,C=CCN1C[C@H](C)N(C[C@H]1C)[C@@H](c1cccc(c1)O)c1ccc(cc1)C(=O)N(CC)CC,active,9.522878745
CHEMBL326235,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O,CC(C[C@@H](C(=O)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1c(C)cc(cc1C)O)N)C)C,active,9.522878745
CHEMBL2338744,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)CC(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,CO[C@]12CC[C@]3(C[C@@H]1[C@@](CC(C)C)(O)C)[C@@]14[C@H]2Oc2c4c(C[C@H]3N(CC1)CC1CC1)ccc2O,active,9.522878745
CHEMBL2387327,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCC(=O)NCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1)C(=O)N[C@@H](CC(C)C)C(N)=O,CC(C[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CC(C)C)CCC(=O)NCCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)NC(=O)[C@H](Cc1ccc(cc1)Cl)NC(=O)CNC(=O)[C@H](NC(=O)[C@H](Cc1c(C)cc(cc1C)O)N)C)C,active,9.397940009
CHEMBL226114,CN1CC[C@]23Cc4[nH]c5ccccc5c4C[C@H]2[C@H]1Cc1ccc(O)cc13,Oc1ccc2c(c1)[C@@]13CCN([C@H](C2)[C@@H]3Cc2c(C1)[nH]c1c2cccc1)C,active,9.397940009
CHEMBL4094845,Oc1ccc2c(c1)C13CCN(CC4CC4)C(C2)C12CCC1C3[C@@H](CN1c1cnccn1)C2,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](C2)CN3c1cnccn1)CC1CC1,active,9.397940009
CHEMBL63477,CCN(CC)C(=O)c1ccc(/C(=C2\C[C@@H]3CC[C@H](C2)N3)c2ccccc2)cc1,CCN(C(=O)c1ccc(cc1)/C(=C\1/C[C@H]2CC[C@@H](C1)N2)/c1ccccc1)CC,active,9.397940009
CHEMBL3309515,O=C1CCC2=C([C@@H]3Oc4c(O)ccc5c4[C@@]34CCN(CC3CC3)[C@H](C5)[C@]4(O)C2)N1Cc1ccccc1,O=C1CCC2=C(N1Cc1ccccc1)[C@@H]1Oc3c4[C@@]51[C@](C2)(O)[C@@H](Cc4ccc3O)N(CC5)CC1CC1,active,9.397940009
