ChEMBL ID,Smiles,Canonical_Smiles,bioactivity_class,pKi,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL68412,CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3Cc2cccs2)c2cccc(O)c2)cc1,CCNC(=O)c1ccc(cc1)C(=C1CC2CCC(C1)N2Cc1cccs1)c1cccc(c1)O,active,9.698970004,458.62700000000007,5.832300000000006,2.0,4.0
CHEMBL4066752,O=C(c1ccccc1)N1C[C@H]2OC34CCC1C2C31CCN(CC2CC2)C4Cc2ccc(O)cc21,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](O2)CN3C(=O)c1ccccc1)CC1CC1,active,9.698970004,456.58600000000024,3.742600000000003,1.0,4.0
CHEMBL2113671,CO[C@]12C=C[C@@]3(C[C@H]1[C@@H](C)OCc1ccccc1)[C@H]1Cc4ccc(O)c5c4C3(CCN1C)[C@@H]2O5,CO[C@]12C=C[C@]3(C[C@H]1[C@H](OCc1ccccc1)C)C14[C@@H]2Oc2c4c(C[C@H]3N(CC1)C)ccc2O,active,9.698970004,459.5860000000003,4.217800000000005,1.0,5.0
CHEMBL3758712,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)NCC(=O)Nc1ccccc1,O=C(Nc1ccccc1)CNC(=O)[C@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1c(C)cc(cc1C)O)N,active,9.698970004,500.59900000000033,2.58724,4.0,5.0
CHEMBL375504,Oc1ccc2c(c1)[C@]13CCN(CC4CCC4)[C@H](C2)[C@@H]1Cc1c([nH]c2ccccc12)C3,Oc1ccc2c(c1)[C@@]13CCN([C@H](C2)[C@@H]3Cc2c(C1)[nH]c1c2cccc1)CC1CCC1,active,9.698970004,398.5500000000002,4.956800000000004,2.0,2.0
CHEMBL1649938,CCCC[C@@H](NC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC(N(C(=O)CC)c2ccccc2)CC1,CCCC[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1CCC(CC1)N(c1ccccc1)C(=O)CC)Cc1ccccc1)NC(=O)[C@H](Cc1c(C)cc(cc1C)O)N,active,9.698970004,740.946,3.8317400000000057,5.0,7.0
CHEMBL1766208,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,CSCC[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCc1cc(cc(c1)C(F)(F)F)C(F)(F)F)Cc1c[nH]c2c1cccc2)CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@H](Cc1c(C)cc(cc1C)O)N)C,active,9.698970004,1237.3789999999995,5.549840000000009,10.0,11.0
CHEMBL2208356,COc1ccc(-c2ccc(CCNC(=O)c3ccc4c(c3)C3(C)CCN(CC5CC5)C(C4)C3C)cc2)cc1,COc1ccc(cc1)c1ccc(cc1)CCNC(=O)c1ccc2c(c1)C1(C)CCN(C(C2)C1C)CC1CC1,active,9.698970004,508.7060000000004,6.268900000000006,1.0,3.0
CHEMBL249985,COc1ccc(-c2ccc(CCNC(=O)c3ccc4c(c3)[C@@]3(C)CCN(CC5CC5)C(C4)[C@@H]3C)cc2)cc1,COc1ccc(cc1)c1ccc(cc1)CCNC(=O)c1ccc2c(c1)[C@@]1(C)CCN(C(C2)[C@@H]1C)CC1CC1,active,9.698970004,508.7060000000004,6.268900000000006,1.0,3.0
CHEMBL132897,NCCC[C@@H](NC(=O)c1cccc2c3c([nH]c12)[C@@H]1Oc2c(O)ccc4c2C12CCN(CC1CC1)C(C4)[C@]2(O)C3)C(=O)O,NCCC[C@H](C(=O)O)NC(=O)c1cccc2c1[nH]c1c2C[C@@]2(C34[C@H]1Oc1c4c(CC2N(CC3)CC2CC2)ccc1O)O,active,9.698970004,572.6620000000006,2.4945000000000013,6.0,7.0
