LogP,pKi
3.572600000000002,10.0
3.5303000000000013,10.0
4.485140000000005,10.0
2.018870000000001,10.0
3.681600000000002,10.0
2.8909200000000004,10.0
4.763640000000004,10.0
2.7726400000000018,10.0
2.994200000000002,10.0
4.335100000000003,10.0
3.314840000000002,10.0
2.2303000000000006,10.0
3.9665400000000144,9.698970004
2.26494,9.698970004
5.832300000000006,9.698970004
3.742600000000003,9.698970004
4.217800000000005,9.698970004
2.58724,9.698970004
4.956800000000004,9.698970004
3.8317400000000057,9.698970004
5.549840000000009,9.698970004
6.268900000000006,9.698970004
6.268900000000006,9.698970004
2.4945000000000013,9.698970004
4.566700000000004,9.698970004
-4.646089999999977,9.698970004
3.650840000000006,9.698970004
1.1618000000000126,9.698970004
4.9940400000000045,9.698970004
1.362709999999976,9.698970004
4.611300000000004,9.698970004
3.8606000000000025,9.698970004
5.312400000000006,9.698970004
-0.0609999999999876,9.698970004
3.291100000000002,9.698970004
3.387600000000002,9.698970004
3.796600000000014,9.698970004
3.124100000000001,9.698970004
3.124100000000001,9.698970004
6.840000000000008,9.698970004
4.015500000000005,9.698970004
5.114400000000004,9.698970004
5.965900000000007,9.698970004
6.260300000000006,9.698970004
5.832300000000006,9.522878745
3.9562000000000017,9.522878745
4.065900000000005,9.522878745
3.267470000000003,9.522878745
5.0030000000000046,9.522878745
3.6296000000000017,9.522878745
3.6296000000000017,9.522878745
5.780900000000006,9.522878745
4.023000000000003,9.522878745
2.277399999999986,9.522878745
5.070200000000004,9.522878745
4.589700000000003,9.522878745
3.387600000000002,9.522878745
4.4425000000000034,9.522878745
2.965900000000002,9.522878745
1.7655000000000016,9.522878745
2.8846000000000007,9.522878745
3.7485000000000026,9.522878745
4.204300000000004,9.522878745
5.783300000000006,9.522878745
4.5442000000000045,9.522878745
0.2434400000000061,9.522878745
4.413800000000005,9.522878745
3.9393400000000174,9.397940009
3.786500000000002,9.397940009
3.765500000000003,9.397940009
4.8849000000000045,9.397940009
3.6429000000000022,9.397940009
2.661440000000004,9.397940009
3.388940000000005,9.397940009
1.4742999999999988,9.397940009
1.4742999999999988,9.397940009
6.676300000000008,9.397940009
3.3161000000000005,9.397940009
5.647440000000006,9.397940009
4.756600000000003,9.397940009
6.007300000000007,9.397940009
4.405600000000004,9.397940009
5.324340000000011,9.397940009
3.970840000000004,9.397940009
3.6395000000000026,9.397940009
6.149600000000007,9.397940009
5.676900000000006,9.397940009
5.719400000000006,9.397940009
5.312400000000006,9.397940009
4.803900000000006,9.397940009
3.193920000000002,9.397940009
1.5040000000000096,9.397940009
3.5836000000000023,9.397940009
3.5836000000000023,9.397940009
5.647440000000006,9.397940009
3.8205000000000022,9.397940009
3.2460400000000016,9.397940009
4.456000000000006,9.397940009
2.895400000000012,9.397940009
4.006300000000003,9.301029996
1.4370800000000126,9.301029996
6.329140000000009,9.301029996
1.7626000000000055,9.301029996
2.7551,9.301029996
4.182500000000004,9.301029996
4.443300000000016,9.301029996
4.249340000000004,9.301029996
3.583000000000002,9.301029996
3.583000000000002,9.301029996
4.336000000000005,9.301029996
5.4881000000000055,9.301029996
1.5040000000000096,9.301029996
2.7168,9.301029996
4.334940000000008,9.301029996
1.1121000000000043,9.301029996
4.102400000000004,9.301029996
4.252000000000004,9.301029996
5.600300000000006,9.301029996
4.85400000000001,9.301029996
6.135300000000007,9.301029996
2.7197000000000005,9.301029996
3.3161000000000014,9.301029996
4.788900000000004,9.301029996
4.0717000000000025,9.301029996
3.097000000000002,9.301029996
2.4906999999999995,9.301029996
3.7692000000000014,9.22184875
7.047500000000007,9.22184875
7.230100000000008,9.22184875
4.590500000000004,9.22184875
3.3264000000000014,9.22184875
3.3595000000000024,9.22184875
3.3595000000000024,9.22184875
3.5389000000000017,9.22184875
3.8480000000000025,9.22184875
4.971100000000005,9.22184875
4.932700000000006,9.22184875
-0.8180899999999924,9.22184875
3.2435000000000023,9.22184875
5.035200000000004,9.22184875
3.935500000000002,9.22184875
5.131100000000003,9.22184875
5.909780000000014,9.22184875
3.083800000000002,9.22184875
3.270800000000003,9.22184875
1.737100000000009,9.22184875
3.479570000000005,9.22184875
4.489500000000004,9.22184875
-1.0932999999999933,9.22184875
6.027820000000006,9.22184875
4.238100000000003,9.22184875
5.780900000000006,9.15490196
3.500300000000002,9.15490196
1.7929999999999993,9.15490196
2.7168,9.15490196
4.933000000000009,9.15490196
-0.6663999999999941,9.15490196
3.3077000000000027,9.15490196
2.7721000000000044,9.15490196
3.8205000000000022,9.15490196
3.163600000000001,9.15490196
3.6366000000000014,9.15490196
4.372100000000005,9.15490196
2.7924000000000007,9.15490196
2.7924000000000007,9.15490196
5.858500000000006,9.15490196
3.251400000000002,9.15490196
-0.1625999999999956,9.15490196
6.913700000000008,9.15490196
6.568720000000007,9.15490196
5.839800000000007,9.15490196
3.409600000000002,9.15490196
1.2173000000000016,9.15490196
4.256400000000004,9.15490196
6.260300000000006,9.15490196
